gender,embedding,subcat,n_train,spec,variant,rank_lower,rank_coef,rank_upper,demand_lower,demand_coef,demand_upper,sig
women,proper,pumps,626,PLR + Similarities + Controls,txt,-0.1146,-0.0777,-0.0409,-0.191,-0.1296,-0.0681,True
women,proper,pumps,626,PLR + Similarities + Controls,txtimg,-0.1068,-0.0658,-0.0247,-0.178,-0.1096,-0.0412,True
women,whole,ALL,2573,PLR + Controls,txt,-0.1065,-0.0803,-0.054,-0.1776,-0.1338,-0.09,True
women,whole,ALL,2573,PLR + Controls,txtimg,-0.118,-0.0898,-0.0617,-0.1966,-0.1497,-0.1028,True
women,whole,ALL,2573,PLR + Emb + Controls,txt,-0.1027,-0.0756,-0.0486,-0.1711,-0.126,-0.081,True
women,whole,ALL,2573,PLR + Emb + Controls,txtimg,-0.1283,-0.1035,-0.0787,-0.2138,-0.1725,-0.1311,True
women,whole,ALL,2573,PLR + Embeddings,txt,-0.1893,-0.1554,-0.1215,-0.3155,-0.259,-0.2025,True
women,whole,ALL,2573,PLR + Embeddings,txtimg,-0.1675,-0.1372,-0.1069,-0.2792,-0.2287,-0.1782,True
women,whole,ALL,2573,PLR + PCA + Controls,txt,-0.1074,-0.0805,-0.0537,-0.1789,-0.1342,-0.0895,True
women,whole,ALL,2573,PLR + PCA + Controls,txtimg,-0.1233,-0.0956,-0.0679,-0.2055,-0.1593,-0.1131,True
women,whole,ALL,2573,PLR + Similarities + Controls,txt,-0.1122,-0.0865,-0.0608,-0.1871,-0.1442,-0.1013,True
women,whole,ALL,2573,PLR + Similarities + Controls,txtimg,-0.1245,-0.0973,-0.0701,-0.2074,-0.1621,-0.1168,True
